name,website,cb_description,year_founded,mosaic_change,city,region,country,postal
ReflexAI,https://reflexai.com,"ReflexAI specializes in AI-based training and quality assurance solutions for contact centers. The company offers products that enhance agent training through realistic simulations and personalized feedback, as well as streamline quality assurance processes by assessing every interaction and providing standardized evaluations. ReflexAI primarily serves sectors such as crisis management, education, healthcare, and mental health. It was founded in 2022 and is based in New York, New York.",2022,+22,New York,New York,United States,10003
Harmonic Security,https://harmonic.security,"Harmonic Security focuses on providing zero-touch data protection solutions in the cybersecurity industry. Its services include safeguarding sensitive data, coaching users on safe AI usage, and tracking and assessing risks associated with Generative AI applications. Harmonic Security primarily caters to healthcare, insurance, and financial services sectors. It was founded in 2023 and is based in San Francisco, California.",2023,,San Francisco,California,United States,94102
Bitmovin,https://bitmovin.com,"Bitmovin specializes in video streaming infrastructure within the technology sector. The company offers cloud-native solutions for media encoding, playback, and analytics designed to deliver video content reliably across a multitude of devices. Bitmovin primarily serves the entertainment and OTT industry, providing tools for live and on-demand video streaming. It was founded in 2012 and is based in Denver, Colorado.",2012,-20,Denver,Colorado,United States,80202
Stader,https://staderlabs.com,"Stader is a liquid staking platform that operates within the cryptocurrency sector, focusing on providing staking solutions and enhancing the DeFi ecosystem. The company offers users the ability to stake their digital assets to earn rewards while maintaining liquidity, enabling participation in various DeFi protocols without locking up their tokens. Stader primarily serves retail cryptocurrency users, exchanges, and custodians with its non-custodial, smart contract-driven services. It was founded in 2021 and is based in Singapore, Singapore.",2021,-110,Singapore,,Singapore,
Upheal,https://upheal.io,"Upheal is an Artificial Intelligence (AI)-powered platform designed to assist mental health professionals by automating therapy notes and providing session analytics. The company offers a suite of tools that includes secure video calling, session transcription, and analytics to streamline clinical workflows. Upheal primarily serves the mental health care sector, It was founded in 2021 and is based in New York, New York.",2021,+92,New York,New York,United States,10016
Ukio,https://ukio.com,"Ukio is a company specializing in monthly furnished apartment rentals and corporate housing within the real estate sector. The company offers beautifully decorated, fully furnished apartments with flexible rental terms, designed to provide a hassle-free living experience for stays of one month or longer. Ukio primarily serves individuals and businesses looking for temporary housing solutions without the commitment of long-term contracts. It was founded in 2020 and is based in Barcelona, Spain.",2020,-51,Barcelona,,Spain,08007
Panorama Education,https://panoramaed.com,"Panorama Education focuses on educational technology, providing a platform that supports student success across various domains. The company offers a suite of software solutions that enable educators to track and improve student outcomes in areas such as academics, behavior, social-emotional learning, and family engagement. Panorama Education's products are designed to facilitate a holistic view of student data, support multi-tiered systems of support (MTSS), and enhance school climate and culture through targeted interventions and progress monitoring. It was founded in 2012 and is based in Boston, Massachusetts.",2012,-38,Boston,Massachusetts,United States,02108
DispatchHealth,https://dispatchhealth.com,"DispatchHealth is a healthcare company that focuses on providing urgent medical care services. The company offers in-home medical care services, treating a variety of conditions and illnesses, and coordinating with insurance companies for billing. They primarily serve patients in their homes, including those in senior living and home health sectors. It was founded in 2013 and is based in Denver, Colorado.",2013,-47,Denver,Colorado,United States,80907
Amberstone Biosciences,https://amberstonebio.com,"Amberstone Biosciences focuses on developing immunotherapies within the biotechnology sector. The company offers therapeutic agents designed to target tumors selectively without harming healthy tissues, addressing the issue of dose toxicity in traditional therapies. Amberstone Biosciences caters to the healthcare sector, particularly in areas involving tumor treatment and auto-immune diseases. It was founded in 2018 and is based in Irvine, California.",2018,-85,Irvine,California,United States,92618
Astro,https://astro.ai,"Astro is a workplace productivity company that uses artificial intelligence to surface important information from emails and calendar. Astro built Astrobot, a plug-in that lets users check emails and calendar information directly from Slack.",2015,,Palo Alto,California,United States,94306
ThayerMahan,https://thayermahan.com,"ThayerMahan focuses on maritime surveillance solutions, operating within the defense and industrial sectors. The company offers services such as monitoring the world's oceans for security purposes, providing actionable intelligence for decision-making, and delivering Search-as-a-Service solutions tailored to each customer's needs. ThayerMahan primarily serves sectors such as offshore renewables, commercial monitoring, defense and intelligence, subsea infrastructure, and acoustic sciences. It was founded in 2016 and is based in Groton, Connecticut.",2016,+90,Groton,Connecticut,United States,06340
Atmosphere,https://atmosphereapp.com,"Atmosphere analyzes text for mood and matches that mood with music, delivering music that matches the mood of the text youre reading.  Think of it as a soundtrack for your novel.  The Atmosphere bookstore allows users to create custom playlists to share with other users, sortof DVD extras for your book.",,,,,,
CREXi,https://crexi.com,"CREXi is a platform developed to advance the trillion-dollar commercial real estate (CRE) industry by supplying users with technology to simplify and expedite the transaction process. It provides industry professionals access to a CRE toolset. The company was founded in 2015 and is based in Los Angeles, California.",2015,-59,Los Angeles,California,United States,90292
LivSpace,https://livspace.com,"Livspace is a home interior design and renovation service company with a focus on creating beautiful and functional living spaces. The company offers a range of services including modular kitchen solutions, custom wardrobe designs, and turnkey interior solutions for residential and commercial spaces. Livspace provides a one-stop solution for homeowners, encompassing design, delivery, and installation, backed by technology to ensure a seamless and efficient process. It was founded in 2014 and is based in Bangalore, India.",2014,-41,Bangalore,,India,560103
Indicina,https://indicina.co,"Indicina is a technology company focused on the financial services industry. The company provides innovative credit tools that enable businesses to build smarter, safer, and faster credit products. These tools are designed to manage customer loans, provide insights for safer credit decisions, and assess risk and affordability. It was founded in 2018 and is based in Lagos, Nigeria.",2018,-49,Lagos,,Nigeria,
FlexSea,https://flex-sea.com,"FlexSea is a company focused on sustainable packaging solutions within the bioplastics industry. Its main offering is an innovative, home-compostable biopolymer material derived from seaweed and other sustainably sourced products, designed to replace traditional plastic film packaging. This material degrades naturally and rapidly, posing no harm to the environment. The company was founded in 2020 and is based in London, United Kingdom.",2020,-53,London,England,United Kingdom,EC2A 4NE
Aisera,https://aisera.com,"Aisera specializes in Generative AI Solutions for enterprises, focusing on enhancing user productivity and reducing operational expenses across various business sectors. The company offers a suite of products including AI-driven conversational interfaces and domain-specific large language models that facilitate human-like interactions and improve workforce productivity. Aisera's solutions cater to a broad range of domains such as IT, HR, customer service, sales, marketing, finance, healthcare, life sciences, financial services, and retail. It was founded in 2017 and is based in Palo Alto, California.",2017,-5,Palo Alto,California,United States,94303
NymCard,https://nymcard.com,"NymCard operates as an end-to-end payment platform. It offers corporate cards, cryptocurrency cards, travel cards, youth banking solutions, credit cards, buy now pay later (BNPL) options, and more. The company primarily serves the financial technology sector. The company was founded in 2018 and is based in Dubai, United Arab Emirates.",2018,-55,Dubai,,United Arab Emirates,
WEAVR,https://weavr.space,"WEAVR designs and develops VR platforms on PC and mobile for businesses to create and share immersive stories using their 2D and 360 content. It curates VR stories for users' target audience, supports 360 photos and videos, and is customizable.",2016,,Zurich,,Switzerland,
ONE,https://groupone-holdings.com,"ONE operates within the sports and entertainment industry, providing services that include martial arts entertainment through ONE Championship and gaming content via ONE Esports. The company serves the sports media and entertainment sectors, targeting a millennial audience with its events and content. It was founded in 2011 and is based in Singapore.",2011,,Singapore,,Singapore,189352
Mosaic Microsystems,https://mosaicmicro.com,"Mosaic Microsystems specializes in microelectronics and photonics packaging, focusing on the use of thin glass substrates. The company offers packaging solutions that include thin glass with custom through-glass vias, metallization, and other features tailored to meet the needs of technology applications. Mosaic Microsystems serves sectors such as radio frequency (RF) communications, sensing, and photonics, providing substrates and packaging that leverage the properties of glass. It was founded in 2016 and is based in Rochester, New York.",2016,-77,Rochester,New York,United States,14606
Sardine,https://sardine.ai,"Sardine focuses on fraud prevention and compliance. The company offers a platform that provides services such as fraud detection, risk scoring, transaction monitoring, and case management, all aimed at protecting customer interactions and preventing money laundering and scams, primarily serving sectors such as banks and retailers. It was founded in 2020 and is based in Miami, Florida.",2020,-101,Miami,Florida,United States,33179
Vanta,https://vanta.gg,"Vanta operates a youth esports development platform in the digital entertainment and education sectors. It offers a digital esports platform, organizes competitive esports leagues and development camps, and offers expert coaching and programming for children. Vanta primarily serves the education sector, partnering with schools and community organizations. The company was founded in 2020 and is based in Boston, Massachusetts.",2020,-81,Boston,Massachusetts,United States,02101
Credo,https://,Credo offers software for electronic cash management.,,,Dublin,,Ireland,
ENVIRIA,https://enviria.energy,"ENVIRIA focuses on the energy sector, specifically in the domain of solar energy. The company offers solar solutions for businesses, covering the entire process from financing and planning to installation and operation of solar power systems. ENVIRIA primarily serves the B2B sector, specializing in the needs of businesses and companies. It was founded in 2017 and is based in Frankfurt am Main, Germany.",2017,-58,Frankfurt am Main,,Germany,60314
Dasera,https://dasera.com,"Dasera is a company specializing in Data Security Posture Management (DSPM) within the data security and governance sector. The company offers a platform that automates security and governance controls for data across cloud and on-premises environments. Dasera's solutions cater to businesses looking to secure their data infrastructure, manage compliance, and mitigate risks associated with data usage and access. It was founded in 2019 and is based in Mountain View, California. In October 2024, Dasera was acquired by Netskope.",2019,,Mountain View,California,United States,94043
Tava Health,https://tavahealth.com,"Tava Health focuses on providing mental health services in the healthcare industry. The company offers a technology-enabled platform that allows individuals, couples, and families to access mental health resources, including matching with licensed therapists and psychologists. Tava Health primarily serves employers, offering mental health benefits for employees. It was founded in 2019 and is based in Salt Lake City, Utah.",2019,+196,Salt Lake City,Utah,United States,84103
Deako,https://deako.com,"Deako specializes in the development and production of plug-and-play light switches. It offers a range of light switches that can be easily installed by users, providing the ability to control and personalize home lighting. These products are primarily marketed to homeowners. The company was founded in 2015 and is based in Seattle, Washington.",2015,-9,Seattle,Washington,United States,98105
Switch Bioworks,https://switchbioworks.com,"Switch Bioworks is a biofertilizer company operating in the agricultural sector. The company's main service involves engineering naturally occurring microbes to produce sustainable nitrogen fertilizer, which is then formulated into a powder for use by farmers. The company primarily serves the agricultural industry. It was founded in 2022 and is based in San Carlos, California.",2022,+246,San Carlos,California,United States,94070
Commonplace,https://commonplace.is,"Commonplace is a citizen engagement platform that specializes in leveraging AI-driven insights for community input analysis in various sectors. The company provides a solution for gathering and interpreting geolocated sentiment data, facilitating inclusive decision-making for a wide range of projects. Commonplace primarily serves sectors such as public and private planning, housing associations, transport planning, climate initiatives, and residential development. It was founded in 2013 and is based in London, England.",2013,-162,London,England,United Kingdom,E1 8FA
Botify,https://botify.com,"Botify is a company that focuses on performance marketing and operates in the SEO (Search Engine Optimization) industry. The company offers a platform that provides unified data and analytics for SEO performance, AI-powered recommendations for prioritizing opportunities, and automated organic search optimizations. Botify primarily serves sectors such as e-commerce, publishing, classifieds, and travel. It was founded in 2012 and is based in Paris, France.",2012,-122,Paris,,France,75008
FlexxPay,https://flexxpay.com,"FlexxPay operates as a cloud-based salary tracking platform. The company's platform offers an alternative to the traditional pay cycle through which employees access their already-earned income and other benefits. It was founded in 2018 and is based in Dubai, United Arab Emirates.",2018,-37,Dubai,,United Arab Emirates,
Survios,https://survios.com,"Survios is a leading VR games studio known for developing immersive virtual reality experiences across various genres. The company specializes in creating action-packed VR games that offer players engaging narratives and interactive gameplay, such as boxing simulations, futuristic shooters, and apocalyptic combat scenarios. Survios markets its products primarily to the virtual reality gaming community. It was founded in 2013 and is based in Marina del Rey, California.",2013,+28,Marina del Rey,California,United States,90292
Ironclad,https://ironcladapp.com,"Ironclad is a leading provider in the contract lifecycle management software domain, offering a comprehensive platform for managing contracts from inception to completion. Their main offerings include AI-powered tools for contract creation, negotiation, compliance, and analytics, designed to streamline the entire contract management process. Ironclad's solutions cater to various sectors including legal, sales, procurement, and IT. It was founded in 2014 and is based in San Francisco, California.",2014,-8,San Francisco,California,United States,94105
iSono Health,https://isonohealth.com,"iSono Health focuses on early breast cancer detection and monitoring through advanced medical imaging technology. The company offers an automated, portable, and wearable three-dimensional (3D) ultrasound scanner designed to simplify and expedite breast imaging for healthcare providers and patients. iSono Health's technology is utilized primarily in physicians' offices, women's health clinics, and potentially in radiology centers, walk-in, and mobile clinics. It was founded in 2015 and is based in South San Francisco, California.",2015,+35,South San Francisco,California,United States,94080
EyeControl,https://eyecontrol.co.il,"EyeControl is a pioneer in the medical technology sector, specializing in innovative communication solutions. The company's main offerings include a wearable eye-tracking device and smart platforms that facilitate communication between patients who cannot speak, their families, and medical teams. These solutions are primarily used in healthcare facilities and for patients transitioning to remote home care. It was founded in 2016 and is based in Tel Aviv, Israel.",2016,,Tel Aviv,,Israel,6618003
Credenc,https://credenc.com,"Credenc is an online platform for students to apply for student loans for college tuition.

On August 20th, 2021, Credenc was acquired by Capital India Finance. The terms of the transaction were not disclosed.",2017,,New Delhi,,India,110049
BriteCo,https://brite.co,"BriteCo is a company that focuses on providing insurance services, specifically in the jewelry sector. The company offers insurance coverage for various types of jewelry including engagement rings, fine jewelry, and luxury watches, providing protection against loss, theft, damage, and mysterious disappearance. BriteCo primarily serves individuals seeking to insure their personal jewelry. It was founded in 2017 and is based in Evanston, Illinois.",2017,-62,Evanston,Illinois,United States,60201
Cometeer,https://cometeer.com,"Cometeer operates as a coffee manufacturing company. It provides frozen coffee extract pods and mixed roast boxes. The company was founded in 2015 and is based in Gloucester, Massachusetts.",2015,,Gloucester,Massachusetts,United States,01930
Sharebite,https://sharebite.com,"Sharebite is a meal benefits platform serving the corporate sector. The company provides meal benefits solutions tailored for in-office, remote, and hybrid work environments, aiming to enhance employee performance and company culture. Sharebite primarily caters to the corporate sector, offering services that support employee well-being and engagement. It was founded in 2014 and is based in New York, New York.",2014,+23,New York,New York,United States,10001
Curacel,https://curacel.co,"Curacel specializes in artificial intelligence (AI) powered insurance software and products for various sectors, focusing on streamlining insurance operations. The company offers solutions for managing and distributing insurance, processing claims, detecting fraud, and automating payment operations, all by artificial intelligence. Curacel primarily serves industries such as logistics, fintech, e-commerce, healthcare, and automotive. It was founded in 2019 and is based in Lagos, Nigeria.",2019,-70,Lagos,,Nigeria,106104
AMSL Aero,https://amslaero.com,,,,,,,
Anomalo,https://anomalo.com,"Anomalo provides data quality solutions. It offers a platform that automatically detects and explains issues in enterprise data, providing root cause analysis and data monitoring services. It primarily serves businesses that rely heavily on data for decision-making and product development. It was formerly known as Data Gravity. It was founded in 2018 and is based in Palo Alto, California.",2018,+84,Palo Alto,California,United States,94301
Ion Mobility,https://ionmobility.com,"Ion Mobility manufactures, designs, builds, and maintains electric vehicle (EV) motorcycles. It provides hardware and software technology for electric motorbikes and energy storage devices. The company was founded in 2019 and is based in Singapore.",2019,,Singapore,,Singapore,139953
Recurrent,https://recurrentauto.com,"Recurrent focuses on providing transparency and insights into electric vehicle (EV) battery performance within the automotive industry. The company offers battery and range reports for used electric cars, utilizing data from a network of EVs to inform potential buyers, current owners, and sellers about battery health and performance. Recurrent's services are aimed at EV shoppers, owners, and sellers, assisting them in making decisions in the used electric car market. It was founded in 2020 and is based in Seattle, Washington.",2020,+164,Seattle,Washington,United States,98104
Sitemate,https://sitemate.com,"Sitemate provides no-code software tools in the industrial sector. The company offers a range of services including data capture and information management platforms, integration platforms for business process automation, and mobile apps for site and workforce management. Its services primarily cater to the built world industry. It was founded in 2015 and is based in Sydney, Australia.",2015,+99,Sydney,New South Wales,Australia,2010
Entitle,https://entitle.io,"Entitle focuses on security-first permissions management in the cloud computing domain. The company offers a platform for access management, providing centralized entitlement visibility, self-serve access, and policy enforcement and access reviews. It primarily serves the cloud computing industry. It was formerly known as Deepcred. It was founded in 2021 and is based in New York, New York. In April 2024, Entitle was acquired by BeyondTrustetween $100M and $150M.",2021,,New York,New York,United States,10036
Visional,https://visional.inc,"Visional focuses on driving digital transformation in various industries, with a core emphasis on the Human resource(HR)  Tech sector. The company offers recruitment platforms and talent management platforms, aiming to build a comprehensive human capital management (HCM) ecosystem for businesses. While their primary market is the HR technology sector, they are also expanding into business succession Mergers and acquisitions, logistics tech, cybersecurity, and sales tech domains. Visional was formerly known as BizReach. It was founded in 2009 and is based in Tokyo, Japan.",2009,,Tokyo,,Japan,150-0002
Peak Energy,https://peak-energy.com,"Peak Energy is an independent company focused on oil and gas exploration in the energy sector. The company's main services include the acquisition and development of oil and gas leases, as well as the acquisition of mineral, royalty, and overriding royalty interests. Peak Energy primarily sells to the oil and gas industry. It is based in Oklahoma City, Oklahoma.",,,Oklahoma City,Oklahoma,United States,73157
Bankingly,https://bankingly.com,"Bankingly is a technology company specializing in digital banking solutions for the financial sector. The company offers a suite of products including web and mobile banking platforms, conversational banking tools, digital onboarding and loan origination systems, an admin portal, and fraud prevention services. Bankingly primarily serves financial institutions such as banks and credit unions. It was founded in 2015 and is based in Montevideo, Uruguay.",2015,-60,Montevideo,,Uruguay,11300
PocketHealth,https://pockethealth.com,"PocketHealth focuses on healthcare technology. It offers a platform that allows patients to access, understand, and share their medical records and imaging, as well as store all their important health information in one place. The company primarily serves patients and healthcare providers. PocketHealth was formerly known as PocketSix Technology. It was founded in 2016 and is based in Toronto, Canada.",2016,+111,Toronto,Ontario,Canada,M5B 1N9
Sunhero,https://sunhero.com,"Sunhero specializes in the installation of residential solar panels and operates within the renewable energy sector. The company offers services including the design and financing of photovoltaic systems, handling of necessary documentation, and assistance with obtaining subsidies for solar energy self-consumption. Sunhero also provides ongoing support post-installation, such as continuous monitoring and maintenance plans for solar panel systems. It was founded in 2021 and is based in Berlin, Germany.",2021,-63,Berlin,,Germany,10405
Menlo Security,https://menlosecurity.com,"Menlo Security provides cybersecurity solutions for enterprises. It protects organizations from cyber attacks by eliminating the threat of malware. It offers a cloud security platform that provides ransomware prevention solutions, and malware prevention solutions, neutralizes malicious document downloads, and more. It serves industries such as financial services, educational sectors, and more. It was founded in 2013 and is based in Mountain View, California.",2013,-17,Mountain View,California,United States,94040
Creatio,https://creatio.org.uk,"Creatio is a company that focuses on providing IT solutions in the education sector. The company offers a configurable IT system designed to streamline processes, reduce costs, and ensure regulatory compliance for awarding organizations. Their main services include product development, customer management, registration-assessment-awarding, and governance. It was founded in 2008 and is based in United Kingdom.",2008,-144,,,United Kingdom,W4 5JL
Kalshi,https://kalshi.com,"Kalshi operates as an online trading platform. It functions as a federally regulated exchange where users can trade on the outcome of events. It allows investors to place their trades on possible events through an asset class called event contracts. It was founded in 2018 and is based in New York, New York.",2018,-72,New York,New York,United States,10012
KikOff,https://kikoff.com,"KikOff develops credit-building software. It offers a credit-building solution that helps individuals establish a positive payment history and lower credit utilization, both key factors in calculating credit scores. It primarily serves the financial services industry. The company was founded in 2019 and is based in San Francisco, California.",2019,-88,San Francisco,California,United States,94111
AI21 Labs,https://ai21.com,"AI21 Labs operates as an artificial intelligence (AI) lab and product company. The company offers a range of AI-powered tools, including a writing companion tool to assist users in rephrasing their writing, and an AI reader that summarizes long documents. It also provides language models for developers to create AI-powered applications. It was founded in 2017 and is based in Tel Aviv-Yafo, Israel.",2017,-57,,Tel Aviv-Yafo,Israel,6203854
Seismic,https://seismic360.com,"Seismic specializes in unified communications and IT infrastructure within the technology sector. The company offers end-to-end services, including planning, deployment, and management of IT environments for original equipment manufacturers, distributors, and managed service providers. Seismic's Serv360 platform provides an all-in-one ITSM solution designed to simplify service management for service providers. It was founded in 2010 and is based in Charlotte, North Carolina.",2010,,Charlotte,North Carolina,United States,28277
Kewazo,https://kewazo.com,"Kewazo specializes in construction robotics, focusing on automating and digitizing material handling on construction sites and industrial plants. The company's flagship product, LIFTBOT, is a battery-powered, remote-controlled lifting robot that is designed to improve efficiency and safety in material handling tasks. LIFTBOT is primarily utilized in the construction and industrial sectors, enhancing productivity and safety in scaffolding assembly and other material movement applications. It was founded in 2018 and is based in Garching bei Munchen, Germany.",2018,-43,Garching bei Munchen,,Germany,85748
Relish,https://relishcareers.com,"Relish is a company focused on recruitment, specifically within the education and employment sectors. The company offers a recruiting platform designed for master's-level students and alumni, allowing them to discover employers, apply for open positions, and plan their career moves. The platform also provides services for employers, including the ability to connect with potential candidates. It was founded in 2014 and is based in Charlottesville, Virginia.",2014,,Charlottesville,Virginia,United States,22902
Penn Connected,https://pennconnected.com,"Penn Connected is a company that operates in the online betting industry, providing a comprehensive list of active slot machine websites. The company curates a selection of trusted slot 777 websites, aiming to enhance the online gambling experience with a focus on safety and maximizing winnings. It primarily serves the online gaming community. Penn Connected was formerly known as Zeto. It was founded in 2011 and is based in Milwaukee, Wisconsin.",2011,,Milwaukee,Wisconsin,United States,
Mangata Networks,https://mangatanetworks.com,"Mangata Networks operates as a global telecommunications company in the satellite-enabled network and cloud services industry. The company's main offerings include providing business-to-government (B2G) and business-to-business (B2B) connectivity through a combination of satellite constellations and terrestrial systems, extending the cloud to the edge of the network. Mangata Networks primarily serves businesses, communities, and government sectors. It was founded in 2020 and is based in Gold Canyon, Arizona.",2020,-138,Gold Canyon,Arizona,United States,85118
SourceDay,https://sourceday.com,"SourceDay specializes in supply chain software solutions within the procurement and supply chain management domain. The company offers a platform that facilitates real-time collaboration between buyers and suppliers, ensuring accurate and efficient management of direct material purchase order changes and communication. SourceDay's software integrates with ERP systems to enhance data accuracy, reduce buffer stock, and improve on-time delivery of materials. It was founded in 2013 and is based in Austin, Texas.",2013,+102,Austin,Texas,United States,78759
Moneytree,https://getmoneytree.com,"Moneytree develops a personal financial management tool. It offers an application that enables individuals to automatically view all of their bank accounts, credit cards, digital money, mileage, points, and securities together in one place. The company was founded in 2012 and is based in Tokyo, Japan.",2012,-89,Tokyo,,Japan,106-0031
Luminopia,https://luminopia.com,"Luminopia is a company focused on creating digital therapeutics for significant neuro-visual disorders, specifically in the healthcare sector. The company's main product is a binocular therapy for amblyopia, a condition that causes vision loss in children. This therapy involves a software that works with commercially available Head-Mounted Displays (HMDs) and uses a dual-action mechanism to rebalance input between the eyes, encouraging the brain to combine the images from both eyes. The therapy is delivered through a controlled environment with no distractions, and patients can choose from a variety of TV shows and movies to watch during treatment. Luminopia primarily sells to the healthcare industry. It was founded in 2015 and is based in Cambridge, Massachusetts.",2015,-59,Cambridge,Massachusetts,United States,02139
Addionics,https://addionics.com,"Addionics specializes in battery technology within the energy sector. The company offers rechargeable batteries with an architecture applicable to current and emerging lithium-ion battery (LIB) technology. Addionics serves sectors that require advanced energy storage solutions, leveraging both hardware innovations in smart 3D current collectors and software-driven AI optimization for performance attributes. It was founded in 2017 and is based in London, United Kingdom.",2017,+170,London,England,United Kingdom,W12 0BZ
